index,date,rawContent,retweetCount,likeCount,quoteCount,mentionedUsers,hashtags,links,media,inReplyToTweetId,inReplyToUser,retweetedTweet,account,lang,cleanedContent,num_links_TextLink,num_media_Video,num_media_Photo,num_media_Gif,part_of_convo,content_length,word_count,sentiment_score
11,2020-08-09 00:00:01,"Singapore is 55 today🎉May we continue to be united as one nation, and strive together towards an even better Singapore!

Don't forget to check out the #NDP2020 Mobile Columns in your neighbourhood today 🇸🇬 

Find out where it'll be: https://t.co/synZNOJ4Ax

#TogetherStrongerSG https://t.co/r2YKIChnun",26,78,1,,ndp2020 togetherstrongersg,"[TextLink(text='ndp.gov.sg/whats-happenin…', url='https://www.ndp.gov.sg/whats-happening/morning/mobile-column', tcourl='https://t.co/synZNOJ4Ax', indices=(233, 256))]","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1292245758771474433/pu/img/KqVixO9a89xJITbl.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1292245758771474433/pu/vid/320x320/Y9jQgVhvygrBXaKB.mp4?tag=10', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1292245758771474433/pu/pl/XOClu_aSF_zuREmQ.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1292245758771474433/pu/vid/720x720/xK0ABrytWyd2CmMf.mp4?tag=10', contentType='video/mp4', bitrate=1280000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1292245758771474433/pu/vid/480x480/lLtKJqg6ckFOavxx.mp4?tag=10', contentType='video/mp4', bitrate=832000)], duration=6.048, views=1283, altText=None)]",,,,pap,en,"Singapore is 55 today🎉May we continue to be united as one nation, and strive together towards an even better Singapore!Don't forget to check out the  Mobile Columns in your neighbourhood today 🇸🇬 Find out where it'll be:  ",1,5,0,0,False,0.9714285714285714,40,0.7689
12,2020-08-08 10:30:00,"We’re only one day away to Singapore’s 55th birthday and our MPs have kickstarted the celebration 🥳. Can you guess who they are?

Screenshot and share your guess below! 

#NDP2020 #TogetherStrongerSG #OurHeartforSG #PAPSingapore https://t.co/uNHaESPkQ1",5,24,0,,ndp2020 togetherstrongersg ourheartforsg papsingapore,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Ee4ToQXUcAIjyzI.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1291989770210435072/vid/720x720/69C8mh9knvX1zUHa.mp4?tag=13', contentType='video/mp4', bitrate=1280000), VideoVariant(url='https://video.twimg.com/amplify_video/1291989770210435072/vid/480x480/84f-wypIEBgb1hOJ.mp4?tag=13', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1291989770210435072/pl/en_ueDi50quHaec8.m3u8?tag=13', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1291989770210435072/vid/320x320/u6GdPXet69MYuGaW.mp4?tag=13', contentType='video/mp4', bitrate=432000)], duration=20.729, views=774, altText=None)]",,,,pap,en,We’re only one day away to Singapore’s 55th birthday and our MPs have kickstarted the celebration 🥳. Can you guess who they are?Screenshot and share your guess below!     ,0,5,0,0,False,0.8035714285714286,33,0.3595
13,2020-08-07 11:05:14,"Deputy Prime Minister Heng Swee Keat, together with Members of Parliament Carrie Tan, Zhul Rahim, Alvin Tan and Vikram Nair, share their wishes for Singapore's 55th birthday. Happy Birthday, Singapore! 

What's your wish for our country?

#NationalDay2020 #TogetherStrongerSG https://t.co/nx2WIqBth9",5,51,1,,nationalday2020 togetherstrongersg,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EeySwELUwAEbAgG.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1291564586827563009/pl/m9ue7aRx9NCR8mU5.m3u8?tag=13', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1291564586827563009/vid/640x360/R_ksQuZQjCuQ6AWC.mp4?tag=13', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1291564586827563009/vid/1280x720/uVOx7ZAMhwvRv55L.mp4?tag=13', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1291564586827563009/vid/480x270/M7SXzSM2ELAI6YYH.mp4?tag=13', contentType='video/mp4', bitrate=288000)], duration=132.508, views=12572, altText=None)]",,,,pap,en,"Deputy Prime Minister Heng Swee Keat, together with Members of Parliament Carrie Tan, Zhul Rahim, Alvin Tan and Vikram Nair, share their wishes for Singapore's 55th birthday. Happy Birthday, Singapore! What's your wish for our country?  ",0,5,0,0,False,0.9714285714285714,38,0.8588
14,2020-07-31 00:00:00,A joyous Selamat Hari Raya Haji to all our Muslims friends! https://t.co/nuOOerdyRG,9,36,0,,,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1288720434460897287/pu/img/lLOb2DE_FYM8WC2x.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1288720434460897287/pu/vid/720x720/b7vT25BjwF8FsdJp.mp4?tag=10', contentType='video/mp4', bitrate=1280000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1288720434460897287/pu/vid/480x480/HoW1_rksE1WvCauL.mp4?tag=10', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1288720434460897287/pu/vid/320x320/dGRX8_rwQlTgyJNo.mp4?tag=10', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1288720434460897287/pu/pl/_iSIeoxJeWoam7T0.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None)], duration=5.5, views=705, altText=None)]",,,,pap,en,A joyous Selamat Hari Raya Haji to all our Muslims friends! ,0,5,0,0,False,0.21428571428571427,12,0.8172
15,2020-07-25 11:48:50,"Prime Minister Lee Hsien Loong announced the retirement, movement and promotion of members for his new Cabinet today.

The Cabinet of 37 office holders will include 7 newly elected MPs. There are also two newly appointed Mayors.

Know more: https://t.co/lqmc8OKMXF https://t.co/pLWn32csz7",12,44,2,,,"[TextLink(text='tiny.cc/zudksz', url='http://tiny.cc/zudksz', tcourl='https://t.co/lqmc8OKMXF', indices=(241, 264))]","[Photo(previewUrl='https://pbs.twimg.com/media/EdxQNY9VAAI88tv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdxQNY9VAAI88tv?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EdxQNmUVoAcm2jT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdxQNmUVoAcm2jT?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EdxQN2NUwAE71ru?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdxQN2NUwAE71ru?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EdxQOEgUEAA1L7N?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdxQOEgUEAA1L7N?format=jpg&name=orig', altText=None)]",,,,pap,en,"Prime Minister Lee Hsien Loong announced the retirement, movement and promotion of members for his new Cabinet today.The Cabinet of 37 office holders will include 7 newly elected MPs. There are also two newly appointed Mayors.Know more:  ",1,0,4,0,False,0.9321428571428572,39,0.0
16,2020-07-18 10:20:34,"In an address to party activists, Mr @LawrenceWongST  encouraged party activists to keep faith with its supporter base, the working class and the heartlanders as “this is in the PAP’s roots and DNA”.

Watch here: https://t.co/Ih0vq6Y0Cu

#GE2020 https://t.co/5B5cFO6FJq",9,47,2,"[User(username='LawrenceWongST', id=282161299, displayname='Lawrence Wong', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",ge2020,"[TextLink(text='youtu.be/8qIeMmOVcdw', url='https://youtu.be/8qIeMmOVcdw', tcourl='https://t.co/Ih0vq6Y0Cu', indices=(213, 236))]","[Photo(previewUrl='https://pbs.twimg.com/media/EdM3VQmVAAUW7yF?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EdM3VQmVAAUW7yF?format=png&name=orig', altText=None)]",,,,pap,en,"In an address to party activists, Mr @LawrenceWongST  encouraged party activists to keep faith with its supporter base, the working class and the heartlanders as “this is in the PAP’s roots and DNA”.Watch here:  ",1,0,1,0,False,0.8642857142857143,37,0.8957
17,2020-07-15 10:15:51,"Thank you Singapore for your continued support, and for giving us another opportunity to serve you. 

As we continue to fight through this unprecedented times as one people, we look forward to working with you to secure 

#OurLivesOurJobsOurFuture https://t.co/PgfztTSe5B",24,158,3,,ourlivesourjobsourfuture,,"[Photo(previewUrl='https://pbs.twimg.com/media/Ec9a-UEU4AEDOU6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ec9a-UEU4AEDOU6?format=jpg&name=orig', altText=None)]",,,,pap,en,"Thank you Singapore for your continued support, and for giving us another opportunity to serve you. As we continue to fight through this unprecedented times as one people, we look forward to working with you to secure  ",0,0,1,0,False,0.8714285714285714,39,0.8481
19,2020-07-07 11:26:43,"Minister Lawrence Wong, Dr Tan See Leng and Xie Yao Quan will be discussing about the Covid-19 pandemic. 

Stay tuned for the live discussion on FB and YouTube, at 8pm. https://t.co/kuvX1ovdqI",3,29,0,,,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1280463053239115776/pu/img/Ge_8PLRFsw3NH8FQ.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1280463053239115776/pu/vid/1280x720/JGCw7QnMdgB5OpH_.mp4?tag=10', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280463053239115776/pu/pl/qkymwQqBnc2XE4UZ.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280463053239115776/pu/vid/480x270/bsWgdM-ozJPUeKJw.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280463053239115776/pu/vid/640x360/AhM0Hu7nUd1RDlOD.mp4?tag=10', contentType='video/mp4', bitrate=832000)], duration=36.8, views=2908, altText=None)]",,,,pap,en,"Minister Lawrence Wong, Dr Tan See Leng and Xie Yao Quan will be discussing about the Covid-19 pandemic. Stay tuned for the live discussion on FB and YouTube, at 8pm. ",0,5,0,0,False,0.5964285714285714,31,0.0
20,2020-07-07 01:53:54,"[TUNE IN] Join us on Straight Talk with PAP – Our strategies for an inclusive society, with Senior Minister Tharman Shanmugaratnam at 12:30pm

Live on Facebook and Youtube.

#GE2020 #OurLivesOurJobsOurFuture https://t.co/91ezVGSYL5",4,34,0,,ge2020 ourlivesourjobsourfuture,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1280319049080074241/pu/img/D8KP3TRGbBuJ_Ll9.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1280319049080074241/pu/vid/320x320/tFVOayIivy-krKtR.mp4?tag=10', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280319049080074241/pu/vid/720x720/NAkJR0EW7yybCSOS.mp4?tag=10', contentType='video/mp4', bitrate=1280000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280319049080074241/pu/pl/eh1qzh2RxGJPMIcG.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280319049080074241/pu/vid/480x480/hx39_n9ZilaJkDdW.mp4?tag=10', contentType='video/mp4', bitrate=832000)], duration=21.522, views=1370, altText=None)]",,,,pap,en,"[TUNE IN] Join us on Straight Talk with PAP – Our strategies for an inclusive society, with Senior Minister Tharman Shanmugaratnam at 12:30pmLive on Facebook and Youtube.  ",0,5,0,0,False,0.7285714285714285,29,0.4767
21,2020-07-06 11:35:27,"Stay tuned as Minister K Shanmugam together with Jessica Tan and Junie Foo from SCWO discuss how protection for the women and vulnerable can be enhanced.

#GE2020 #OurLivesOurJobsOurFuture https://t.co/1u0ewuN1pd",6,26,0,,ge2020 ourlivesourjobsourfuture,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1280103005312835584/pu/img/hE3T9yD5Ub5ZR7kZ.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1280103005312835584/pu/pl/9shb4bkZKWkS1n6g.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280103005312835584/pu/vid/640x360/XkgUtCU2Qe_grtkB.mp4?tag=10', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280103005312835584/pu/vid/480x270/3ZdIbj6qkpHdtYAK.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280103005312835584/pu/vid/1280x720/MVanIKsbPpl9Vgbd.mp4?tag=10', contentType='video/mp4', bitrate=2176000)], duration=34.68, views=1691, altText=None)]",,,,pap,en,Stay tuned as Minister K Shanmugam together with Jessica Tan and Junie Foo from SCWO discuss how protection for the women and vulnerable can be enhanced.  ,0,5,0,0,False,0.6678571428571428,28,-0.2263
22,2020-07-06 09:45:00,"PAP Secretary-General Lee Hsien Loong cautioned Singaporeans on the promises made by the Opposition. He stressed that with the PAP, “you know that when we promise anything, we will deliver.”

#GE2020 #OurLivesOurJobsOurFuture https://t.co/oGJKgGXYIO",7,39,2,,ge2020 ourlivesourjobsourfuture,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1280050571571949569/pu/img/9dFx_Frdwz82cr5f.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050571571949569/pu/vid/480x270/aymtj5x6Mq_ONDhO.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050571571949569/pu/pl/ggMsA6xZBAmsl8SE.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050571571949569/pu/vid/1280x720/uNC4DqCcjgMZj_pZ.mp4?tag=10', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050571571949569/pu/vid/640x360/wFfcNwlvacNNyOlK.mp4?tag=10', contentType='video/mp4', bitrate=832000)], duration=63.48, views=2570, altText=None)]",,,,pap,en,"PAP Secretary-General Lee Hsien Loong cautioned Singaporeans on the promises made by the Opposition. He stressed that with the PAP, “you know that when we promise anything, we will deliver.”  ",0,5,0,0,False,0.8,32,0.3612
23,2020-07-06 08:40:01,"[LIVE NOW] SMEs make up 65% of Singapore's workforce - find out what are PAP's plans for SMEs, together with Chee Hong Tat, Zaqy Mohamad and Edward Chia.

Watch here: https://t.co/oS9rXfzXx7

#GE2020 #OurLivesOurJobsOurFuture #SMEs https://t.co/9wERKdUkoj",1,16,0,,ge2020 ourlivesourjobsourfuture smes,"[TextLink(text='tiny.cc/v9m0rz', url='http://tiny.cc/v9m0rz', tcourl='https://t.co/oS9rXfzXx7', indices=(167, 190))]","[Photo(previewUrl='https://pbs.twimg.com/media/EcOuNg-U8AEnkah?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EcOuNg-U8AEnkah?format=jpg&name=orig', altText=None)]",,,,pap,en,"[LIVE NOW] SMEs make up 65% of Singapore's workforce - find out what are PAP's plans for SMEs, together with Chee Hong Tat, Zaqy Mohamad and Edward Chia.Watch here:    ",1,0,1,0,False,0.8142857142857143,33,0.0
24,2020-07-06 08:15:00,"PAP Secretary-General Lee Hsien Loong emphasised Singapore's need for a capable government during this critical period of Covid-19.

#GE2020 #OurLivesOurJobsOurFuture https://t.co/hRqxjBKGHc",5,36,1,,ge2020 ourlivesourjobsourfuture,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1280050246630793216/pu/img/k6oElOl-vbo7_cdJ.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050246630793216/pu/vid/640x360/vtbOTXVFQ3kBIpUf.mp4?tag=10', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050246630793216/pu/vid/480x270/0y9fS4utsUeV5lOV.mp4?tag=10', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050246630793216/pu/vid/1280x720/fp-MGhaKNFLSihle.mp4?tag=10', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1280050246630793216/pu/pl/l17cX34dxtwHCgqF.m3u8?tag=10', contentType='application/x-mpegURL', bitrate=None)], duration=91.0, views=1608, altText=None)]",,,,pap,en,PAP Secretary-General Lee Hsien Loong emphasised Singapore's need for a capable government during this critical period of Covid-19.  ,0,5,0,0,False,0.5892857142857143,20,-0.0065
