cleanedContent,content_length,hashtags,sentiment_score,num_links_TextLink,num_media_Video,num_media_Photo,num_media_Gif,likeCount,quoteCount,part_of_convo
WP Statement on the  ,0.4214285714285714,littleindiariot,0.4084,1,0,0,0,4,0,False
"@peterl61i @peterl61i – there are too many to recount. Our people are not waiting for the Portal!! They are firing away to do good. From helping migrant workers, to bringing laptop to needy students, to bringing food to seniors, things are moving...",0.8892857142857142,,0.2225,0,0,0,0,0,0,True
Choong Yong: Most Sengkang West residents would have received a flyer from Dr Lam Pin Min in his capacity as the Grassroots Advisor,0.9357142857142856,,0.0,0,0,0,0,1,0,False
"And of course, Ron Tan Jun Yen, 30, Real Estate Agent and Director at an investment company.   ",0.9214285714285714,ge2015 wpsg,0.0,0,0,1,0,4,0,False
"In the past 13 months, we have seen at least 50 incidents of  disruptions reported, and almost half of such delays exceed 30 minutes.",0.9785714285714284,mrt,-0.34,0,0,0,0,6,0,False
Pritam Singh @wpyw going through the civil liberties section of our manifesto.    ,0.9285714285714286,sgelections wpge2011,0.5106,0,0,0,0,0,0,False
Medical cost is an issue with the elderly and the govt will set up special package for the elderly ,0.75,ndrsg,0.4019,0,0,0,0,1,0,False
"In his address earlier on the 2019-nCoV, PM Lee shared the simple measures that every Singaporean can do to play their part. Watch here: ",0.5714285714285714,,0.5859,1,0,0,0,7,0,False
MOS Dr Maliki Osman chatting with residents of Block 57 New Upper Changi Road. ,0.7214285714285714,,-0.4404,0,0,1,0,1,0,False
Just In: Mr Charles Chong will be the  candidate for Punggol East SMC in the coming   ,0.9071428571428573,pap ge2015 pap4sg,0.0,0,0,1,0,2,0,False
WP has only nominated Mr Png Eng Huat as our candidate for Hougang SMC. Dr Poh Lee Guan has not informed us of any intention to contest.,0.9714285714285714,,0.4084,0,0,0,0,1,0,False
Jenn Jong shows us how to prepare chicken stew as part of a food trail in Marine Parade GRC.  ,0.7571428571428571,feastonthis,0.0,0,5,0,0,2,0,False
LIVE from PAP Conference & Awards 2018  ,0.225,,0.4588,1,0,1,0,11,0,False
" Speaking at a closed-door dialogue session, Prime Minister Lee Hsien Loong assured that no one will be left behind as Singapore progresses.More key points and quotes from the dialogue session at  ",0.8107142857142857,icymi,0.0772,1,0,1,0,16,0,False
Low: The increased competition in the workforce environment caused high pressure and stress...resulting in loss of work-life balance,0.9428571428571428,,-0.5423,0,0,0,0,5,0,False
Walking with Singaporeans to celebrate the 50 years of founding! Check out our album:  ,0.8357142857142857,pap4sg,0.6114,1,0,1,0,9,0,False
Glad that PM is looking good!  ,0.2642857142857143,ndrsg,0.7345,0,0,1,0,38,0,False
PasirRis: Penny Low takes the stage and says a 'hello' to Mr Lui Tuck Yew who is here w us in the audience!  ,0.9857142857142858,ge2015,-0.3382,0,0,1,0,3,0,False
"@RoboticsSG The Covid will accelerate, impell and alter the road maps no doubt as we are faced with new order of business and logistical arrangements. We have seen the importance of having production capacity for some strategic goods...",0.8428571428571429,,-0.296,0,0,0,0,0,0,True
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
"The advisor, despite not having been elected, had access to the vast resources galvanised by the PA, including the Residents’ Committees (RCs), Community Centre Management Committees (CCMCs), Citizens’ Consultative Committees (CCC) and the Community Development Council (CDC).",0.9857142857142858,,0.0,0,0,0,0,2,0,True
"Do you, or someone you know, work in or run a  What are other obstacles you face?  ",0.6857142857142857,sme tweetus,-0.3818,0,0,1,0,7,0,False
omy - 新闻 News - 工人党介绍第三批候选人     ,0.5785714285714286,wp wpsg wpge2011 sgelections,0.0,0,0,0,0,0,0,False
".@kohchoongyong (on choosing WP HQ instead of other locations) ""We want to make sure everybody is comfortable!""",0.7928571428571428,,0.6833,0,0,0,0,2,0,False
Gerald: Ask yourselves - can you support a family with less than $1000 a month?   ,0.8,ge2015 wpsg empoweryourfuture,0.4019,0,0,0,0,6,0,False
"Yee Jenn Jong thanks his supporters in Joo Chiat, and will be contesting in Marine Parade GRC this election.  ",0.9928571428571428,ge2015,0.7003,0,0,1,0,4,0,False
MP Zainal bin Sapari's passion - to take action for low-wage workers:   ,0.9,papcares,0.4588,1,0,1,0,0,0,False
"""Hope it'll go some way in bringing them some cheer this festive season."" Intan Mokhtar distributes Hari Raya goodies ",1.0,,0.8658,0,0,1,0,0,0,False
Faisal: Gov must enhance our infrastructure and environment for the disabled.  ,0.6642857142857143,wpge2011 wpsg,0.0,0,0,0,0,0,0,False
Leon enquires whether the future GNSS-based ERP 2.0 will safeguard privacy. ,0.5428571428571428,,0.3818,0,0,1,0,0,0,False
"""His legacy is a people united, with heart, strong and free..."" - SMS Indranee Rajah in her heartfelt  ",0.9857142857142858,tributetolky,0.8625,0,0,1,0,1,0,False
Gerald: We cannot continue to assume that the model that has brought us here today is going to continue for the next 50 years.  ,1.0,ge2015 wpsg,0.0,0,0,0,0,6,0,False
"Singapore is 55 today🎉May we continue to be united as one nation, and strive together towards an even better Singapore!Don't forget to check out the  Mobile Columns in your neighbourhood today 🇸🇬 Find out where it'll be:  ",0.9714285714285714,ndp2020 togetherstrongersg,0.7689,1,5,0,0,78,1,False
"ESM Goh Chok Tong called on Singaporeans to not let a dispute ""define who we are"". Stay updated at  ",0.8785714285714286,,0.3089,1,0,1,0,9,5,False
MP Pritam Singh's speech on the Protection from Harassment Bill ,0.6142857142857143,,-0.5423,1,0,0,0,3,0,False
Choong Yong: It is very telling that...he is trumpeting these as his report card as a PAP MP,0.6571428571428571,,0.0,0,0,0,0,2,0,False
Dennis urges voters of Punggol East SMC to re-elect Lee Li Lian as their Member of Parliament ,0.8,empoweryourfuture,0.0,0,0,0,0,6,0,False
“60听你说” 今天邀请人民行动党新人陈圣辉来畅谈他的人生经历。敬请留意!LIVE at 3pm! Catch Alvin Tan with host Dasmond Koh as they chat about his life experiences.Watch here:  ,0.5857142857142857,,0.0,1,0,1,0,10,0,False
decision-making to award tender in such a case wld also be the sole remit of the Tender&Contracts Comm - Pritam Singh,0.9928571428571428,,0.5423,1,0,0,0,1,0,False
"It's a night of acknowledgement and appreciation, even the iconic Party Parade Truck gets a shoutout!  ",0.9357142857142856,pap60,0.7424,0,0,1,0,4,0,False
"'Mr Low’s latest non-statement addresses none of these serious charges, which therefore stand unrebutted.' - Press... ",1.0,,-0.2211,1,0,0,0,0,0,False
"Sylvia: One of the PAP office-holders came up to me during the break and said: “How come your speech like that?""",0.8,,0.3612,0,0,0,0,6,0,False
"In an address to party activists, Mr @LawrenceWongST  encouraged party activists to keep faith with its supporter base, the working class and the heartlanders as “this is in the PAP’s roots and DNA”.Watch here:  ",0.8642857142857143,ge2020,0.8957,1,0,1,0,47,2,False
"Escalatory actions like the unilateral deployment of vessels to engender new facts on the ground are not only unnecessary and provocative, they do not set the right tone for SG-MY relations for our people and in particular, the younger generation of Singaporeans and Malaysians.",0.9928571428571428,,0.3612,0,0,0,0,8,0,True
"Weather app: 32°CNarrator: It was not 32°C. 😂😂Thanks everyone for coming to say hi to us at Blk 85 Bedok North and Blk 216 Bedok Central! Have a great weekend, load up on sunscreen and drink lots of water 💧🔥 ",0.7428571428571429,,0.6588,0,0,1,0,24,1,False
At 7pm join Dr @VivianBala n team at the Holland-BukitTimah Rally. We look forward to seeing you!  ,0.9642857142857144,ge2015 pap4sg,0.3595,0,0,1,0,8,0,False
"""If the politics is wrong, you can't get the economics right,"" - Prime Minister Lee Hsien Loong, stressing the... ",0.9714285714285714,,-0.6808,1,0,0,0,0,0,False
View photos of WP candidates on Nomination day at    ,0.7214285714285714,sgelections wpsg wpge2011,0.4084,0,0,0,0,1,0,False
@patlaw no it is managed by office holders and civil servants who are paid last I heard.,0.6285714285714286,,-0.296,0,0,0,0,0,0,False
 - 20 minutes to National Day Rally.,0.3,ndrsg,0.0,0,0,0,0,0,0,False
Secretary-General @leehsienloong: Caught up w/ activists & many retired MPs at a @PAPSingapore Seniors Group event tdy. – LHL ,0.9,,0.0,0,0,1,0,70,0,False
@PAPSingapore: Gold For  Netball! Well done  ! ,0.6428571428571429,singapore oneteamsg,0.3987,1,0,0,0,1,0,False
Min @LawrenceWongST: we have a capable and committed team to realize the plans for Marsiling - Yew Tee  ,0.95,pap4sg,0.5719,0,0,1,0,7,0,False
Sylvia: 3 of them are successful entrepreneurs,0.3285714285714285,,0.5859,0,0,0,0,3,0,False
"""It’s human nature to be tempted, the important thing is for strong leadership to ensure this does not spread,""-... ",0.9857142857142858,,0.7717,1,0,0,0,0,0,False
"Lastly, we have Chen Jiaxi Bernard, 29, Project Executive of a Charitable Organisation   ",0.8785714285714286,ge2015 wpsg,0.4019,0,0,1,0,4,0,False
Workers’ Party Open House resumes on 23 May 2011    ,0.65,wp wpsg sgpolitics,0.4019,0,0,0,0,7,0,False
"Mr Bernard Chen, former Minister of State for Defence, passed away peacefully this morning. He was 73.  ",0.9785714285714284,ripcomrade,0.5859,0,0,1,0,1,0,False
 – A message from Sec-Gen Lee Hsien Loong  We elected new office bearers yesterday. ,0.9857142857142858,sgspeaks,0.0,1,0,1,0,0,0,False
@zoetanry thanks for the RT,0.1928571428571428,,0.4404,0,0,0,0,0,0,True
   @DanielPSGoh ,0.4857142857142857,ge2015 wpsg empoweryourfuture,0.0,0,0,1,0,8,0,False
From Our Past Kampongs To Our Last:  Through The Decades • Full article:  ,0.7571428571428571,hariraya,0.0,1,0,1,0,10,0,False
Kenneth believes that the number of VWOs in Singapore a testament to how much more needs to be done for low income Singaporeans. ,0.9714285714285714,ge2015,-0.2023,0,0,0,0,2,0,False
Sylvia on Medisave for outpatient treatment ,0.4571428571428571,,0.0,0,0,0,0,0,0,False
"Terence: WP MPs attend Parliamentary sittings more often than PAP MPs...spoken up way more times per MP in Parliament, than PAP MPs",0.9357142857142856,,0.4084,0,0,0,0,4,0,False
Jamiyah Children's Home is located at Mountbatten. I visited the Home on Friday evening together with staff from... ,0.9857142857142858,,0.0,1,0,0,0,0,0,False
"Allowing facilities to use ICCs for a sizable portion of their emissions may mean that facilities end up having less incentive to cut down on taxable emissions, as they do not have to pay tax on that portion of emissions.",0.7892857142857143,,0.1696,0,0,0,0,2,0,True
"Workers’ Party Thanks Aljunied, Hougang & All Supporters in GE 2011     ",0.8642857142857143,wp wpsg sgelections wpge2011,0.8176,0,0,0,0,1,0,False
WP's Low Thia Khiang's speech video at Moulmein-Kallang GRC rally 2/5     ,0.8928571428571429,wp wpsg wpge2011 sgelections,-0.2732,0,0,0,0,1,0,False
Bernard: I would like to extend an invitation to the National Heritage Board to document the heritage and history of MacPherson ,0.95,wpsg,0.4939,0,0,0,0,1,0,False
Chen Show Mao's speech on Ministerial Salary Review ,0.5142857142857142,,0.0,1,0,0,0,3,0,False
Leon: I was born in a 3-room flat in Commonwealth Drive. My parents were primary school teachers in neighbourhood schools.  ,0.9714285714285714,ge2015 wpsg,0.0,0,0,0,0,2,0,False
"""He's born in 1913 - b4 WWI!"" Dr. Ng Eng Hen gives a shoutout to 101y.o. Encik Haji Yusof at Pioneers' Appreciation. ",0.9928571428571428,,0.5562,0,0,1,0,1,0,False
Png: Any party that does not play fair deserves no respect from the people ,0.6642857142857143,empoweryourfuture,0.1536,0,0,0,0,4,0,False
"First, any conversation must recognise that there is a distinction between public and private perspectives.",0.3821428571428571,,0.0,0,0,0,0,4,0,True
 RESULTS DAY Hello from Bedok Stadium! Stay tuned as we bring you all the  LIVE!  ,0.8928571428571429,ge2015 action pap4sg,0.0,0,0,4,0,25,0,False
"Operating and development expenditure are lower by a combined $3.6 billion. Combining higher revenues & lower expenses would mean that the Government’s primary deficit improved by $5.7 billion, which again is more than sufficient to cover the recent $1.5 billion support package.",0.9964285714285714,,-0.0772,0,0,0,0,0,0,True
Fairoz: CLS staff should liaise with tertiary institutions for programmes to broaden students' exposures to different pathways  ,1.0,ge2015 wpsg,0.0,0,0,0,0,2,0,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
Voters of East Coast and Fengshan -we bring our final rally to you. May our roars send shock waves across the island! ,1.0,,-0.4389,0,0,1,0,15,0,False
Ting Ru: They are also concerned about the dilution of the Singaporean core and the impact that large-scale immigration has...  ,1.0,ge2015 wpsg,0.0,0,0,0,0,2,0,False
"Gurmit Singh, Nee Soon GRC: ""Why are there still so many unemployed PMETs in Singapore?""   ",0.9857142857142858,ge2015 empoweryourfuture,0.0,0,0,1,0,8,0,False
WP Rally  4/5 (Weds) Aljunied GRC     ,0.6428571428571429,wp wpsg wpge2011 sgelections,0.4084,0,0,0,0,0,0,False
WP's Aljunied Team greeting commuters this morning (FB photos)     ,0.7357142857142858,wp wpsg aljgrc sgelections wpge2011,0.3818,0,0,0,0,0,0,False
"Ting Ru: Despite long hours, they still struggle to make ends meet. I'm very sure a lot of them do not do it for exercise ",1.0,empoweryourfuture,0.0754,0,0,0,0,7,0,False
The 'Reusable Ultra Mask' is now available for collection for all Singapore residents from today till 14 June. Check out  to see where you can collect yours.,0.6428571428571429,,0.0,1,0,0,0,13,1,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
"Frieda: If Serangoon Central can be part of Marine Parade, what is impossible in this country, in their definition? ",0.9571428571428572,empoweryourfuture,0.0,0,0,0,0,7,0,False
PM Lee used 3 mandarin songs to illustrate the SMEs' voices and another 3 to reflect the govt's response.  ,0.9642857142857144,ndrsg,0.0,1,0,0,0,0,0,False
"""It's been a lovely 18yrs. Some of the babies I have cuddled have grown, n r probably here!"" - DPM Teo  ",0.95,ge2015,0.6239,0,0,1,0,11,0,False
Mr David Ong will defend Bukit Batok SMC in the coming GE. He thanked residents for their strong support.  ,0.9714285714285714,pap4sg,0.836,0,0,1,0,2,0,False
Low: How many of you can be confident that your jobs are well-protected?,0.5142857142857142,,0.2732,0,0,0,0,5,0,False
Pritam Singh: A strong and united Singapore will not be built with some Singaporeans being made to feel that they must conform or support the Government’s narrative with little room for alternative views. ,0.7785714285714286,sgbudget2019,0.8316,0,0,0,0,6,1,True
"The Government is committed to support our seniors to age gracefully in their golden years. This include ensuring retirement adequacy, employability of older workers if they choose to continue to work, helping them with healthcare costs, and providing community support networks. ",1.0,,0.9217,0,5,0,0,12,0,False
A blessed Easter to everyone! Remember to stay home and stay safe 😇 ,0.2428571428571428,,0.7959,0,0,1,0,6,0,False
but I wonder if headlines such as this prompted the MOF to undertake a review of the ABSD regime?,0.3464285714285714,,0.0,0,0,0,0,0,0,True
Happy Father's Day! MP Alex Yam shared the below video and it was heartwarming! Take a  this weekend!,0.95,sgfamfie,0.8772,1,0,0,0,1,0,False
"Are you eligible to vote, and where? The voting register (i.e. the Registers of Electors) is open for public inspection until 27 March 2020. Visit  for more information. Every vote counts.",0.7535714285714286,,0.0,1,0,0,0,4,0,False
"Earlier today, Sec-Gen @leehsienloong launched PAP.SG's Recipes From the Heart.More here:  ",0.8142857142857143,,0.128,1,0,1,0,7,0,False
Bernard Chen: The Government needs to listen more and talk less.  ,0.65,ge2015 empoweryourfuture,0.0,0,0,0,0,1,0,False
MP @LeeBeeWah greeting residents at Chong Pang Market.   ,0.65,ge papforsg,0.3818,0,0,1,0,3,0,False
"Full Translation of Denise Phua's fortnighly MyPaper article (25th June 2013)""In times of national challenges... ",0.9642857142857144,,0.0,1,0,0,0,0,0,False
"Sylvia: There's a saying - no pain, no gain. The PAP is trying to make it painful for other parties to manage Town Councils.",0.8857142857142857,,-0.5423,0,0,0,0,11,0,False
Mdm Halimah: What we want to focus is the services and programme for the people. Focus on how to serve the people. ,0.9785714285714284,,0.0772,0,0,1,0,1,0,False
Henry Kwek thanks his mentor Inderjit Singh for his guidance. ,0.4928571428571429,pap4sg,0.4404,0,0,0,0,2,0,False
Find out how Govt is helping companies to employ more older Singaporean professionals. ,0.9428571428571428,,0.296,1,0,1,0,2,0,False
A 'loving critic' or pro-Malaysia activist?,0.2357142857142857,,0.4215,1,0,0,0,22,122,False
"MP Patrick Tay joined some 3,000 Nee Soon residents for Iftar yesterday evening. More at:  ",0.9642857142857144,,0.0,1,0,1,0,3,0,False
"Over the holiday weekend,  made many house visits to  to meet with residents and friends.  ",0.8285714285714286,murali bukitbatok pap4sg,0.7003,0,0,4,0,11,0,False
"NCMP Gerald Giam's speech on the Employment, Parent Leave and Other Measures Bill   ",0.8857142857142857,wpsg sgparliament,-0.0516,1,0,0,0,2,0,False
"Whoever leads Singapore during the COVID-19 crisis must have the people’s full support to make difficult decisions needed for recovery. I ask you to entrust this responsibility once again to the @papsingapore. Together, we will secure our lives, our jobs, our future. – LHL ",0.9785714285714284,,-0.3612,0,0,1,0,123,2,False
"Leon Perera: A dynamic economy is not an end in itself, but we need to raise quality of life.  ",0.7642857142857142,ge2015 wpsg,0.2023,0,0,0,0,2,0,False
"The WP received a rude shock when the HDB served a notice for the Hougang Town Council to move out from the office at Block 810 Hougang Central right after the election. In addition, the Managing Agent for the Town Council terminated its contract.",0.8821428571428571,,-0.6972,0,0,0,0,1,0,True
"Nope, Dennis isn't trying to catch Pokémon (yet). Last Sat, he and WPCF brought beneficiaries to Gardens by the Bay. ",0.8357142857142857,,0.4215,0,0,1,0,12,1,False
"This International Women’s Day, we pay tribute to every Woman and salute your immense contribution in shaping the society. Thank you for being you! From all of us here at PAP, we wish you a Happy Women's Day! ",0.7464285714285714,,0.8436,0,0,1,0,11,0,False
"MP Jamus Lim - Inflation has hit hardest in in the categories that are often excluded from the so-called core measure of inflation commonly targeted by central banks, which is food and fuel.",0.6785714285714286,,-0.34,0,0,0,0,2,0,True
"""Nee Soon got Talent!"" - a grateful MP Muhammad Faishal Ibrahim, serenaded at his recent House Visit in Nee Soon. ",0.9714285714285714,,0.5093,0,0,1,0,0,0,False
.@HeTingru   ,0.4285714285714285,ge2015 empoweryourfuture,0.0,0,0,1,0,3,0,False
Sylvia gave the example of PA activists being mobilised to campaign for PAP candidates at elections.,0.7142857142857143,,0.0,0,0,0,0,9,0,False
" Instead of putting mask for children, you can try use wet towel to cover their nose,mouth if they know how to handle towel.",0.9642857142857144,sharingtip,0.0,0,0,0,0,0,0,False
"Sylvia Lim is no longer ""Chairman"" of the WP but is now our Chair, following recent amendments to our Party Constitution 💁🏻Faisal Manap joins her as Vice-Chair. ",0.575,,0.5881,0,0,1,0,28,5,False
"Good Morning! From all of us, Happy 50th Birthday! Majulah Singapura!   ",0.7785714285714286,sg50 singapore,0.8164,0,0,1,0,22,0,False
  ,0.35,ge2015 empoweryourfuture,0.0,0,0,1,0,2,0,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
Voting is Secret. Learn about ballot secrecy at Elections Dept     ,0.8285714285714286,sgelections wp wpsg wpge2011,0.0,0,0,0,0,0,0,False
Mohamed Fairoz on the Population White Paper: How did it get endorsed? Because the PAP MPs voted for it!  ,0.9214285714285714,empoweryourfuture wpsg,0.3164,0,0,0,0,2,0,False
Gerald: The WP welcomes a national debate on the minimum wage.   ,0.6785714285714286,ge2015 wpsg empoweryourfuture,0.6633,0,0,0,0,3,0,False
@MothershipSG Thanks! Android version coming soon :),0.3714285714285714,,0.7345,0,0,0,0,1,0,True
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
Follow our official Sengkang GRC channels for updates on latest happenings and grassroots activities in the constituency 🤓Fb:   ,0.6392857142857142,,0.0,2,0,1,0,77,2,False
Check your name on the register of electors with the Elections Dept     ,0.8642857142857143,wp wpsg sgelections wpge2011,0.0,0,0,0,0,0,0,False
"MP Louis Chua -Are we contributing to inflationary pressures? I am not much of a football person, but when your team is five-nil down, does it make sense to respond by scoring an own goal?",0.6714285714285714,,-0.2523,0,0,0,0,10,0,True
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
"Dylan Ng: ""To new faces like us, the important thing is what we stand for, what we can do for the voters...""",0.7714285714285715,,0.5106,0,0,0,0,3,0,False
CNA: Workers' Party's Sylvia Lim resigns from Temasek Polytechnic     ,0.8642857142857143,wp wpsg sgpolitics sgelections,-0.3182,0,0,0,0,1,0,False
"Earlier, Budget 2018 was approved in Parliament. Finance Minister Heng Swee Keat in his speech reiterated that Singapore must always be ready for crises, and realise that nothing can predict what happens in our lifetime or our children's lifetimes.Read:  ",0.9928571428571428,,0.6486,1,0,4,0,3,0,False
Missed the Party Political Broadcast? Here is it from our Secretary General @leehsienloong  ,0.9214285714285714,pap4sg ge2015,0.128,1,0,0,0,120,0,False
Singaporeans above 21! Check your name in the Register of Electors online. ,0.6785714285714286,,0.0,0,0,0,0,0,0,False
"PAP.SG Chairperson Mdm Halimah Yacob: Our pioneers built SG thru sheer grit, determination & sacrifices.  ",0.9642857142857144,pap4sg,0.4019,0,0,1,0,4,0,False
"“To date, there has been a distinct lack of clarity as to precisely how campaigning will be modified in view of the COVID-19 pandemic.” Read the full statement here:  ",0.6785714285714286,,0.1027,1,0,1,0,9,3,False
Gerald: We are focused a lot on bread and butter issues - like transport and healthcare.,0.6285714285714286,,0.6249,0,0,0,0,5,0,False
"""..We have come a long way, but our best years are ahead of us. We have the power to shape our destiny and write a... ",1.0,,0.7783,1,0,0,0,0,0,False
When you hear a response and figure there's little point in clarifying further 👀😅  ,0.3357142857142857,sylviagifs,0.0,0,1,0,1,30,1,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
Swimmer Toh Wei Soong just bagged his 3rd gold medal for Singapore!!! The crowd support is unbelievable!  ,0.8142857142857143,apg2015,0.8302,0,0,1,0,5,0,False
The Workers' Party is on Facebook!     ,0.7428571428571429,wp wpsg sgelections wpge2011,0.4574,0,0,0,0,0,0,False
Pritam Singh on why volunteers' extended enforcement powers under the  Bill can potentially harm our communities ,0.8357142857142857,nea,-0.5423,0,0,1,0,1,0,False
and why a suite of such measures is both timely and needed.Watch it here: ,0.3464285714285714,,0.0,1,0,0,0,1,0,True
"""... I am acutely aware of the increasing aspirations of our younger Singaporeans, especially as education level... ",0.9857142857142858,,0.0,1,0,0,0,0,0,False
"WP opens its door to the public every Fri at 8pm. Drop by 216G Syed Alwi Road,  tonight and feel free to bring a friend along!",0.9428571428571428,,0.8139,0,0,0,0,2,0,False
"“However...you will find the journey of public service incredibly humbling and personally fulfilling. It will make you a better person but only if you come with clean hands, dedication and a sincere desire to serve.” (2/2)- Secretary-General Pritam Singh ",0.9321428571428572,onewp,0.9118,0,0,1,0,18,0,True
"The increment in monthly allowance for all national servicemen is to acknowledge their contributions, said Senior Minister of State for Defence, Heng Chee How at the Committee of Supply Debate in Parliament yesterday.",0.8571428571428571,,0.1027,1,0,0,0,10,0,False
"WP has inducted 3 new members into its CEC. They are Mr Toh Hong Boon, Mr Dennis Tan Lip Fong, and Associate Professor Daniel Goh Pei Siong.",1.0,,0.4084,0,0,0,0,3,0,False
PAP's new candidate Desmond Tan shared the lessons he learnt from selling satay.  ,0.3535714285714286,ge2020 singapore,0.34,0,5,0,0,29,13,False
Learn about our unique dish in Singapore for this  ! Only in  ,0.7857142857142857,chinesenewyear singapore,0.0,1,0,0,0,4,0,False
"Starting shortly: Choa Chu Kang GRC, Holland-BukitTimah GRC n Bukit Panjang SMC rallies. Stay tuned for some  ",0.9357142857142856,action ge2015 pap4sg,0.0,0,0,0,0,3,0,False
"I was at the Sub-Regional Ministerial Steering Committee on Transboundary Haze Pollution in KL, Malaysia, earlier... ",0.9928571428571428,,0.0,1,0,0,0,0,0,False
Nomination Day WP photos on  Dunman Secondary     ,0.7428571428571429,fb wp wpsg sgelections wpge2011,0.4084,0,0,0,0,0,0,False
"As MIA for US VP, I met VP Joe Biden and his family in Singapore. US and Singapore enjoys strong and warm... ",0.9357142857142856,,0.5672,1,0,0,0,1,0,False
Missed the airshow? we took a few shots and compiled it as a video for you :) ,0.8428571428571429,singaporeairshow,0.2023,1,0,0,0,7,0,False
"For full Terms and Conditions, and to submit your designs, please visit:   (2/2) ",0.4142857142857143,sengkanggrc,0.3182,1,0,1,0,63,7,True
"To take 🇸🇬 Professional Services sector to the next level, an Industry Transformation Map has been drawn up to generate some 5,500 jobs yearly, until 2020.Read it at  ",0.6785714285714286,,0.0,1,0,1,0,3,0,False
Office Bearers of the Workers' Party for the Term of 2014 to 2016 ,0.6285714285714286,,0.4019,1,0,0,0,2,0,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
"Pritam: Are there racists in our society? Of course, but they are a minority and our politics should never be framed by them ",0.9285714285714286,wpsg,-0.3071,0,0,0,0,3,0,False
